common_name,species,patch,breeding_colours_cs,multiple_forms_cs,multiple_forms_museum,patterned,colourblocked,iridescent,colours_cs
Red-eared Firetail,Stagonopleura oculata,upper_breast,,,,Y,,,"brown, black"
Red-headed Myzomela,Myzomela erythrocephala,upper_breast,,,,,,,brown
Red-kneed Dotterel,Erythrogonys cinctus,upper_breast,,,,,,,black
Red-lored Whistler,Pachycephala rufogularis,upper_breast,,,,,,,grey
Red-necked Avocet,Recurvirostra novaehollandiae,upper_breast,,,,,,,white
Red-necked Crake,Rallina tricolor,upper_breast,,,,,,,orange
Red-rumped Parrot,Psephotus haematonotus,upper_breast,,,,,,,green
Red-tailed Black-Cockatoo,Calyptorhynchus banksii,upper_breast,,,,,,,black
Redthroat,Pyrrholaemus brunneus,upper_breast,,,,,,,"cream, grey"
Red-winged Fairywren,Malurus elegans,upper_breast,Y,,,,,,black
Red-winged Parrot,Aprosmictus erythropterus,upper_breast,,,,,,,green
Regent Bowerbird,Sericulus chrysocephalus,upper_breast,,,,,,,black
Regent Honeyeater,Anthochaera phrygia,upper_breast,,,,Y,,,"black, yellow"
Regent Parrot,Polytelis anthopeplus,upper_breast,,,,,,,yellow
Restless Flycatcher,Myiagra inquieta,upper_breast,,,,,,,white
Rock Parrot,Neophema petrophila,upper_breast,,,,,,,green
Rockwarbler,Origma solitaria,upper_breast,,,,,,,brown
Rose Robin,Petroica rosea,upper_breast,,,,,,,pink
Rose-crowned Fruit-Dove,Ptilinopus regina,upper_breast,,,,Y,,,grey
Royal Spoonbill,Platalea regia,upper_breast,Y,,,,,,"white, cream"
Rufous Bristlebird,Dasyornis broadbenti,upper_breast,,,,Y,,,"grey, cream"
Rufous Fantail,Rhipidura rufifrons,upper_breast,,,,Y,,,"cream, black"
Rufous Fieldwren,Calamanthus campestris,upper_breast,,,,Y,,,"cream, brown"
Rufous Night-Heron,Nycticorax caledonicus,upper_breast,Y,,,,,,"cream, peach"
Rufous Owl,Ninox rufa,upper_breast,,Y,,Y,,,"brown, cream"
Rufous Scrub-bird,Atrichornis rufescens,upper_breast,,,,Y,,,"orange, brown"
Rufous Songlark,Cincloramphus mathewsi,upper_breast,Y,,,,,,cream
Rufous Treecreeper,Climacteris rufus,upper_breast,,,,Y,,,"cream, brown, orange"
Rufous Whistler,Pachycephala rufiventris,upper_breast,,Y,,,,,black
Rufous-banded Honeyeater,Conopophila albogularis,upper_breast,,,,,,,brown
Rufous-crowned Emuwren,Stipiturus ruficeps,upper_breast,,,,Y,,,"blue, black"
Rufous-throated Honeyeater,Conopophila rufogularis,upper_breast,,,,,,,cream
Russet-tailed Thrush,Zoothera heinei,upper_breast,,,,Y,,,"cream, brown"
Sacred Kingfisher,Todiramphus sanctus,upper_breast,,,,,,,cream
Sandstone Shrikethrush,Colluricincla woodwardi,upper_breast,,,,,,,cream
Sarus Crane,Antigone antigone,upper_breast,,,,,,,grey
Satin Bowerbird,Ptilonorhynchus violaceus,upper_breast,,,,,,,black
Satin Flycatcher,Myiagra cyanoleuca,upper_breast,,,,,,Y,blue
Scaly-breasted Lorikeet,Trichoglossus chlorolepidotus,upper_breast,,,,Y,,,"green, yellow"
Scarlet Myzomela,Myzomela sanguinolenta,upper_breast,,,,,,,red
Scarlet Robin,Petroica boodang,upper_breast,,,,,,,orange
Scarlet-chested Parrot,Neophema splendida,upper_breast,,,,,,,orange
Scrubtit,Acanthornis magna,upper_breast,,,,,,,cream
Shining Bronze-Cuckoo,Chrysococcyx lucidus,upper_breast,,Y,,Y,,,"cream, brown"
Shining Flycatcher,Myiagra alecto,upper_breast,,,,,,Y,blue
Short-tailed Grasswren,Amytornis merrotsyi,upper_breast,,,,Y,,,"cream, brown"
Shy Heathwren,Hylacola cauta,upper_breast,,,,Y,,,"cream, brown"
Silver Gull,Chroicocephalus novaehollandiae,upper_breast,,,,,,,white
Silver-crowned Friarbird,Philemon argenticeps,upper_breast,,,,Y,,,"cream, brown"
Silvereye,Zosterops lateralis,upper_breast,,Y,,,,,"grey, cream"
Singing Honeyeater,Gavicalis virescens,upper_breast,,,,Y,,,"cream, grey"
Slaty-backed Thornbill,Acanthiza robustirostris,upper_breast,,,,,,,cream
Slender-billed Thornbill,Acanthiza iredalei,upper_breast,,N,,,,,cream
Sooty Owl,Tyto tenebricosa,upper_breast,,Y,,Y,,,"grey, white"
Sooty Oystercatcher,Haematopus fuliginosus,upper_breast,,Y,,,,,black
Southern Cassowary,Casuarius casuarius,upper_breast,,,,,,,black
Southern Emuwren,Stipiturus malachurus,upper_breast,,,,,,,orange
Southern Scrub-Robin,Drymodes brunneopygia,upper_breast,,,,,,,grey
Southern Whiteface,Aphelocephala leucopsis,upper_breast,,Y,,,,,cream
Spangled Drongo,Dicrurus bracteatus,upper_breast,,,,Y,,Y,"black, grey"
Speckled Warbler,Pyrrholaemus sagittatus,upper_breast,,,,Y,,,"cream, brown"
Spectacled Monarch,Symposiachrus trivirgatus,upper_breast,,Y,,,,,orange
Spinifex Pigeon,Geophaps plumifera,upper_breast,,Y,,,,,orange
Spinifexbird,Poodytes carteri,upper_breast,,,,,,,cream
Spiny-cheeked Honeyeater,Acanthagenys rufogularis,upper_breast,,,,,,,cream
Splendid Fairywren,Malurus splendens,upper_breast,Y,Y,,,,,blue
Spotless Crake,Zapornia tabuensis,upper_breast,,,,,,,grey
Spotted Bowerbird,Chlamydera maculata,upper_breast,,,,Y,,,"cream, brown"
Spotted Harrier,Circus assimilis,upper_breast,,,,Y,,,"brown, cream"
Spotted Nightjar,Eurostopodus argus,upper_breast,,,,Y,,,"black, brown"
Spotted Pardalote,Pardalotus punctatus,upper_breast,,Y,,,,,yellow
Spotted Quail-thrush,Cinclosoma punctatum,upper_breast,,,,,,,grey
Square-tailed Kite,Lophoictinia isura,upper_breast,,,,Y,,,"black, brown"
Squatter Pigeon,Geophaps scripta,upper_breast,,Y,,Y,,,"brown, grey"
Star Finch,Neochmia ruficauda,upper_breast,,Y,,Y,,,"green, cream"
Straw-necked Ibis,Threskiornis spinicollis,upper_breast,,,,,,Y,black
Striated Fieldwren,Calamanthus fuliginosus,upper_breast,,,,Y,,,"cream, brown"
Striated Grasswren,Amytornis striatus,upper_breast,,Y,,Y,,,"cream, grey"
Striated Heron,Butorides striata,upper_breast,,Y,,,,,"grey, brown"
Striated Pardalote,Pardalotus striatus,upper_breast,,Y,,,Y,,cream
Striated Thornbill,Acanthiza lineata,upper_breast,,,,Y,,,"cream, brown"
Striped Honeyeater,Plectorhyncha lanceolata,upper_breast,,,,Y,,,"cream, white"
Strong-billed Honeyeater,Melithreptus validirostris,upper_breast,,,,,,,grey
Stubble Quail,Coturnix pectoralis,upper_breast,,,,Y,Y,,black
Sulphur-crested Cockatoo,Cacatua galerita,upper_breast,,,,,,,white
Superb Fairywren,Malurus cyaneus,upper_breast,Y,,,,,Y,blue
Superb Fruit-Dove,Ptilinopus superbus,upper_breast,,,,Y,,,grey
Superb Lyrebird,Menura novaehollandiae,upper_breast,,,,,,,grey
Superb Parrot,Polytelis swainsonii,upper_breast,,,,,,,green
Swamp Harrier,Circus approximans,upper_breast,,,,Y,,,"brown, cream"
Swift Parrot,Lathamus discolor,upper_breast,,,,,,,green
Tasmanian Nativehen,Tribonyx mortierii,upper_breast,,,,,,,grey
Tasmanian Scrubwren,Sericornis humilis,upper_breast,,,,Y,,,"brown, cream"
Tasmanian Thornbill,Acanthiza ewingii,upper_breast,,,,Y,,,"cream, grey"
Tawny Frogmouth,Podargus strigoides,upper_breast,,Y,,Y,,,"grey, brown"
Tawny Grassbird,Cincloramphus timoriensis,upper_breast,,,,,,,cream
Tawny-breasted Honeyeater,Xanthotis flaviventer,upper_breast,,,,,,,brown
Tawny-crowned Honeyeater,Gliciphila melanops,upper_breast,,,,,Y,,white
Tooth-billed Bowerbird,Scenopoeetes dentirostris,upper_breast,,,,Y,,,"cream, brown"
Topknot Pigeon,Lopholaimus antarcticus,upper_breast,,,,Y,,,"grey, black"
Torresian Crow,Corvus orru,upper_breast,,,,,,,black
Torresian Imperial-Pigeon,Ducula spilorrhoa,upper_breast,,,,,,,white
Torresian Kingfisher,Todiramphus sordidus,upper_breast,,,,,,,white
Tree Martin,Petrochelidon nigricans,upper_breast,,,,Y,,,"cream, brown"
Tropical Scrubwren,Sericornis beccarii,upper_breast,,N,,,,,cream
Trumpet Manucode,Phonygammus keraudrenii,upper_breast,,,,,,Y,green
Turquoise Parrot,Neophema pulchella,upper_breast,,,,,,,yellow
Varied Honeyeater,Gavicalis versicolor,upper_breast,,,,Y,,,"yellow, brown"
Varied Lorikeet,Psitteuteles versicolor,upper_breast,,,,Y,,,"pink, yellow, green"
Varied Sittella,Daphoenositta chrysoptera,upper_breast,,,,,,,
Varied Triller,Lalage leucomela,upper_breast,,,,Y,,,"cream, grey"
Variegated Fairywren,Malurus lamberti,upper_breast,Y,Y,,,,,black
Victoria's Riflebird,Ptiloris victoriae,upper_breast,,,,,,,black
Wandering Whistling-Duck,Dendrocygna arcuata,upper_breast,,,,Y,,,"brown, black"
Wedge-tailed Eagle,Aquila audax,upper_breast,,,,,,,black
Weebill,Smicrornis brevirostris,upper_breast,,Y,,,,,"cream, yellow"
Welcome Swallow,Hirundo neoxena,upper_breast,,,,,,,cream
Western Bowerbird,Chlamydera guttata,upper_breast,,,,,,,cream
Western Bristlebird,Dasyornis longirostris,upper_breast,,,,Y,,,"grey, brown"
Western Corella,Cacatua pastinator,upper_breast,,,,,,,white
Western Gerygone,Gerygone fusca,upper_breast,,,,,,,cream
Western Grasswren,Amytornis textilis,upper_breast,,,,Y,,,"cream, brown"
Western Rosella,Platycercus icterotis,upper_breast,,,,,,,red
Western Spinebill,Acanthorhynchus superciliosus,upper_breast,,,,,,,brown
Western Thornbill,Acanthiza inornata,upper_breast,,,,,,,cream
Western Wattlebird,Anthochaera lunulata,upper_breast,,,,Y,,,"brown, cream"
Western Whipbird,Psophodes nigrogularis,upper_breast,,,,,,,brown
Western Yellow Robin,Eopsaltria griseogularis,upper_breast,,N,,,,,grey
Whiskered Tern,Chlidonias hybrida,upper_breast,Y,,,,,,grey
Whistling Kite,Haliastur sphenurus,upper_breast,,,,Y,,,"brown, cream"
White-backed Swallow,Cheramoeca leucosterna,upper_breast,,,,,,,white
White-bellied Cuckooshrike,Coracina papuensis,upper_breast,,Y,N,Y,,,"grey, black"
White-bellied Sea-Eagle,Haliaeetus leucogaster,upper_breast,,,,,,,white
White-breasted Robin,Eopsaltria georgiana,upper_breast,,,,,,,"white, grey"
White-breasted Whistler,Pachycephala lanioides,upper_breast,,,,,,,black
White-breasted Woodswallow,Artamus leucorynchus,upper_breast,,,,,,,white
White-browed Babbler,Pomatostomus superciliosus,upper_breast,,,,,,,white
White-browed Robin,Poecilodryas superciliosa,upper_breast,,,,,,,grey
White-browed Scrubwren,Sericornis frontalis,upper_breast,,Y,,Y,,,"cream, brown"
White-browed Treecreeper,Climacteris affinis,upper_breast,,,,,,,grey
White-browed Woodswallow,Artamus superciliosus,upper_breast,,,,,,,brown
White-cheeked Honeyeater,Phylidonyris niger,upper_breast,,Y,,Y,,,"black, white"
White-eared Honeyeater,Nesoptilotis leucotis,upper_breast,,,,,,,black
White-eared Monarch,Carterornis leucotis,upper_breast,,,,,,,grey
White-faced Heron,Egretta novaehollandiae,upper_breast,,,,Y,,,"grey, brown"
White-faced Robin,Tregellasia leucops,upper_breast,,,,,,,yellow
White-fronted Chat,Epthianura albifrons,upper_breast,,,,,,,black
White-fronted Honeyeater,Purnella albifrons,upper_breast,,,,,,,black
White-fronted Tern,Sterna striata,upper_breast,,,,,,,
White-gaped Honeyeater,Stomiopera unicolor,upper_breast,,,,,,,brown
White-headed Pigeon,Columba leucomela,upper_breast,,,,,,,white
White-lined Honeyeater,Meliphaga albilineata,upper_breast,,,,Y,,,"cream, brown"
White-naped Honeyeater,Melithreptus lunatus,upper_breast,,,,,,,white
White-plumed Honeyeater,Ptilotula penicillata,upper_breast,,Y,,,,,"grey, yellow"
White-quilled Rock-Pigeon,Petrophassa albipennis,upper_breast,,Y,,Y,,,"brown, grey"
White-streaked Honeyeater,Trichodere cockerelli,upper_breast,,,,Y,,,"cream, brown"
White-throated Gerygone,Gerygone olivacea,upper_breast,,,,,,,yellow
White-throated Grasswren,Amytornis woodwardi,upper_breast,,,,Y,,,"black, white"
White-throated Honeyeater,Melithreptus albogularis,upper_breast,,,,,,,white
White-throated Nightjar,Eurostopodus mystacalis,upper_breast,,,,Y,,,brown
White-throated Treecreeper,Cormobates leucophaea,upper_breast,,,,,,,grey
White-winged Chough,Corcorax melanorhamphos,upper_breast,,,,,,,black
White-winged Fairywren,Malurus leucopterus,upper_breast,,N,,,,,blue
White-winged Triller,Lalage tricolor,upper_breast,,,,,,,white
Willie-wagtail,Rhipidura leucophrys,upper_breast,,,,,,,white
Wompoo Fruit-Dove,Ptilinopus magnificus,upper_breast,,,,,,,purple
Wonga Pigeon,Leucosarcia melanoleuca,upper_breast,,,,,,,grey
Yellow Chat,Epthianura crocea,upper_breast,,,,,,,yellow
Yellow Honeyeater,Stomiopera flava,upper_breast,,,,,,,yellow
Yellow Thornbill,Acanthiza nana,upper_breast,,Y,N,,,,"yellow, cream"
Yellow Wattlebird,Anthochaera paradoxa,upper_breast,,,,Y,,,"cream, brown"
Yellow-billed Kingfisher,Syma torotoro,upper_breast,,,,,,,orange
Yellow-billed Spoonbill,Platalea flavipes,upper_breast,Y,,,,,,white
Yellow-breasted Boatbill,Machaerirhynchus flaviventer,upper_breast,,,,,,,yellow
Yellow-faced Honeyeater,Caligavis chrysops,upper_breast,,,,Y,,,"cream, brown"
Yellow-legged Flycatcher,Microeca griseoceps,upper_breast,,,,,,,cream
Yellow-plumed Honeyeater,Ptilotula ornata,upper_breast,,,,Y,,,"cream, brown"
Yellow-rumped Munia,Lonchura flaviprymna,upper_breast,,,,,,,peach
Yellow-rumped Thornbill,Acanthiza chrysorrhoa,upper_breast,,,,,,,cream
Yellow-spotted Honeyeater,Meliphaga notata,upper_breast,,,,,,,brown
Yellow-tailed Black-Cockatoo,Calyptorhynchus funereus,upper_breast,,,,,,,black
Yellow-throated Honeyeater,Nesoptilotis flavicollis,upper_breast,,,,Y,,,"grey, brown"
Yellow-throated Miner,Manorina flavigula,upper_breast,,Y,,Y,,,"grey, brown"
Yellow-throated Scrubwren,Sericornis citreogularis,upper_breast,,,,Y,,,"yellow, brown"
Yellow-tinted Honeyeater,Ptilotula flavescens,upper_breast,,,,Y,,,"yellow, brown"
Yellow-tufted Honeyeater,Lichenostomus melanops,upper_breast,,Y,,Y,,,"yellow, grey, green"
Zebra Finch,Taeniopygia guttata,upper_breast,,,,Y,,,black
Zitting Cisticola,Cisticola juncidis,upper_breast,,,,,,,
